0	0	0
0.015625	0	0
0.03125	0	0
0.046875	0	0
0.0625	0	0
0.078125	0	0
0.09375	0	0
0.109375	0	0
0.125	0	0
0.140625	0	0
0.15625	0	0
0.171875	0	0
0.1875	0	0
0.203125	0	0
0.21875	0	0
0.234375	0	0
0.25	0	0
0.265625	0	0
0.28125	0	0
0.296875	0	0
0.3125	0	0
0.328125	0	0
0.34375	0	0
0.359375	0	0
0.375	0	0
0.390625	0	0
0.40625	0	0
0.421875	0	0
0.4375	0	0
0.453125	0	0
0.46875	0	0
0.484375	0	0
0.5	0	0
0.515625	0	0
0.53125	0	0
0.546875	0	0
0.5625	0	0
0.578125	0	0
0.59375	0	0
0.609375	0	0
0.625	0	0
0.640625	0	0
0.65625	0	0
0.671875	0	0
0.6875	0	0
0.703125	0	0
0.71875	0	0
0.734375	0	0
0.75	0	0
0.765625	0	0
0.78125	0	0
0.796875	0	0
0.8125	0	0
0.828125	0	0
0.84375	0	0
0.859375	0	0
0.875	0	0
0.890625	0	0
0.90625	0	0
0.921875	0	0
0.9375	0	0
0.953125	0	0
0.96875	0	0
0.984375	0	0
1	0	0

0	0.015625	0
0.015625	0.015625	-7.72122281562e-12
0.03125	0.015625	-1.71442948187e-11
0.046875	0.015625	-3.00917633391e-11
0.0625	0.015625	-4.71795057913e-11
0.078125	0.015625	-6.90019304103e-11
0.09375	0.015625	-9.61052510579e-11
0.109375	0.015625	-1.28961756445e-10
0.125	0.015625	-1.6794682995e-10
0.140625	0.015625	-2.1332024335e-10
0.15625	0.015625	-2.65212877797e-10
0.171875	0.015625	-3.23619564794e-10
0.1875	0.015625	-3.8839824299e-10
0.203125	0.015625	-4.59275147029e-10
0.21875	0.015625	-5.3585532949e-10
0.234375	0.015625	-6.17637500503e-10
0.25	0.015625	-7.0403197172e-10
0.265625	0.015625	-7.94380416094e-10
0.28125	0.015625	-8.8797619305e-10
0.296875	0.015625	-9.84084120237e-10
0.3125	0.015625	-1.08195877181e-09
0.328125	0.015625	-1.18086062041e-09
0.34375	0.015625	-1.28006958837e-09
0.359375	0.015625	-1.37889580956e-09
0.375	0.015625	-1.47668760949e-09
0.390625	0.015625	-1.57283687605e-09
0.40625	0.015625	-1.66678211201e-09
0.421875	0.015625	-1.7580095338e-09
0.4375	0.015625	-1.8460526123e-09
0.453125	0.015625	-1.93049044939e-09
0.46875	0.015625	-2.01094535534e-09
0.484375	0.015625	-2.08707994685e-09
0.5	0.015625	-2.15859403037e-09
0.515625	0.015625	-2.22522147735e-09
0.53125	0.015625	-2.28672724259e-09
0.546875	0.015625	-2.3429046266e-09
0.5625	0.015625	-2.39357284017e-09
0.578125	0.015625	-2.43857489571e-09
0.59375	0.015625	-2.47777582361e-09
0.609375	0.015625	-2.51106119316e-09
0.625	0.015625	-2.53833590427e-09
0.640625	0.015625	-2.55952320475e-09
0.65625	0.015625	-2.57456387456e-09
0.671875	0.015625	-2.58341549418e-09
0.6875	0.015625	-2.58605166682e-09
0.703125	0.015625	-2.58246096949e-09
0.71875	0.015625	-2.57264523142e-09
0.734375	0.015625	-2.556616422e-09
0.75	0.015625	-2.53439089184e-09
0.765625	0.015625	-2.50597883014e-09
0.78125	0.015625	-2.4713654208e-09
0.796875	0.015625	-2.43047809088e-09
0.8125	0.015625	-2.38313119584e-09
0.828125	0.015625	-2.32893518042e-09
0.84375	0.015625	-2.26715136444e-09
0.859375	0.015625	-2.19646568891e-09
0.875	0.015625	-2.11464468955e-09
0.890625	0.015625	-2.0180243579e-09
0.90625	0.015625	-1.90076719629e-09
0.921875	0.015625	-1.75380458606e-09
0.9375	0.015625	-1.56336063902e-09
0.953125	0.015625	-1.30893026078e-09
0.96875	0.015625	-9.60558728901e-10
0.984375	0.015625	-4.75243454172e-10
1	0.015625	0

0	0.03125	0
0.015625	0.03125	-2.74874135881e-11
0.03125	0.03125	-5.98884125104e-11
0.046875	0.03125	-1.03763231799e-10
0.0625	0.03125	-1.60938885923e-10
0.078125	0.03125	-2.33138532865e-10
0.09375	0.03125	-3.21902986357e-10
0.109375	0.03125	-4.28517830519e-10
0.125	0.03125	-5.53950992445e-10
0.140625	0.03125	-6.98804736085e-10
0.15625	0.03125	-8.63284815679e-10
0.171875	0.03125	-1.0471881159e-09
0.1875	0.03125	-1.24990866655e-09
0.203125	0.03125	-1.47046059893e-09
0.21875	0.03125	-1.70751552819e-09
0.234375	0.03125	-1.95945108051e-09
0.25	0.03125	-2.2244068717e-09
0.265625	0.03125	-2.50034417871e-09
0.28125	0.03125	-2.78510578456e-09
0.296875	0.03125	-3.07647295567e-09
0.3125	0.03125	-3.37221714651e-09
0.328125	0.03125	-3.67014473941e-09
0.34375	0.03125	-3.96813384211e-09
0.359375	0.03125	-4.26416282111e-09
0.375	0.03125	-4.55633080277e-09
0.390625	0.03125	-4.8428708008e-09
0.40625	0.03125	-5.12215642114e-09
0.421875	0.03125	-5.39270325909e-09
0.4375	0.03125	-5.65316615477e-09
0.453125	0.03125	-5.90233343489e-09
0.46875	0.03125	-6.1391191647e-09
0.484375	0.03125	-6.36255428884e-09
0.5	0.03125	-6.57177737463e-09
0.515625	0.03125	-6.76602550392e-09
0.53125	0.03125	-6.94462570167e-09
0.546875	0.03125	-7.10698715128e-09
0.5625	0.03125	-7.25259433064e-09
0.578125	0.03125	-7.38100111205e-09
0.59375	0.03125	-7.49182580071e-09
0.609375	0.03125	-7.58474703672e-09
0.625	0.03125	-7.65950044894e-09
0.640625	0.03125	-7.71587591384e-09
0.65625	0.03125	-7.75371522363e-09
